ID	Headword	Headword IAST	Slug	Letter	Grammar	Num Definitions	Num References	Num CrossRefs
akau-a-havaikau-a-hadhai-a-a-ya	अकुण्ठविकुण्ठधिष्ण्यः	akauṇa्ṭhavaikauṇa्ṭhadhaiṣa्ṇa्yaḥ	akau-a-havaikau-a-hadhai-a-a-ya	अ		0	0	0
aka-kau-a-haita-kha-a-asaukha-ta-mabaodha	अक्कुण्ठिताखण्डसुखात्मबोधः	aka्kauṇa्ṭhaitaākhaṇa्ḍasaukhaāta्mabaodhaḥ	aka-kau-a-haita-kha-a-asaukha-ta-mabaodha	अ		0	0	0
akha-a-a	अखण्डः	akhaṇa्ḍaḥ	akha-a-a	अ		0	0	0
aka-ta	अकृतः	akaṛtaḥ	aka-ta	अ		1	0	0
aka-tava-rata	अकृतव्रताः	akaṛtava्rataāḥ	aka-tava-rata	अ		0	0	0
aka-ta-ta-ma-na	अकृतात्मानः	akaṛtaāta्maānaḥ	aka-ta-ta-ma-na	अ		0	0	0
ita-yata-ra-ha	इत्यत्राह	ita्yata्raāha	ita-yata-ra-ha	इ		0	0	0
aka-ta-bha-ya-gama	अकृताभ्यागमः	akaṛtaābha्yaāgamaḥ	aka-ta-bha-ya-gama	अ		0	0	0
aka-ta-raima	अकृत्रिमः	akaṛta्raimaḥ	aka-ta-raima	अ		0	0	0
bhagavata-ka-a-ka-avai-ae-a-dha-namaha	भगवत्कटाक्षविशेषाधीनमहा	bhagavata्kaṭaāka्ṣavaiśaeṣaādhaīnamahaā	bhagavata-ka-a-ka-avai-ae-a-dha-namaha	भ	विशेषणम्	0	0	0
	३	३		३		0	0	0
	४	४		४		0	0	0
ekaaikaena	एकैकेन	ekaaikaena	ekaaikaena	ए		0	0	0
	३	३		३		0	0	0
	४	४		४		0	0	0
sa	सः	saḥ	sa	स		0	0	0
aka-ta-sa-na	अकृत्स्नः	akaṛta्sa्naḥ	aka-ta-sa-na	अ		0	1	0
	६	६		६		0	0	0
	१	१		१	धातुः	0	0	0
	३	३		३		0	0	0
	२	२		२		0	0	0
	२	२		२		0	0	1
ka-ratau	क्रतुः	ka्ratauḥ	ka-ratau	क		0	0	0
	६	६		६		0	0	0
	१६	१६		१		0	0	0
ara-kae	अर्के	ara्kae	ara-kae	अ		0	0	0
ga-hakao-ae	गृहकोणे	gaṛhakaoṇae	ga-hakao-ae	ग		0	0	0
	२	२		२		0	0	0
	२	२		२		0	1	0
	१	१		१		0	0	0
	२	२		२		0	1	0
	१	१		१		0	0	0
	२	२		२		0	0	0
aka-ta-sa-naparai-a-mai	अकृत्स्नपरिणामि	akaṛta्sa्naparaiṇaāmai	aka-ta-sa-naparai-a-mai	अ		0	0	0
aka-ra-yata-va-dana-yata-ra-samavaeta	अकार्यत्वादन्यत्रासमवेतं	akaāra्yata्vaādana्yata्raāsamavaetaṃ	aka-ra-yata-va-dana-yata-ra-samavaeta	अ		0	1	0
	६	६		६		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१५	१५		१		0	0	0
acaita-parai-a-mavai-ae-aba-raha-ma-dai	अचित्परिणामविशेषब्रह्मादि	acaita्paraiṇaāmavaiśaeṣaba्raha्maādai	acaita-parai-a-mavai-ae-aba-raha-ma-dai	अ		0	0	0
	५	५		५		0	0	0
	८	८		८		0	0	0
	१	१		१		0	0	0
	१	१		१	धातुः	0	0	0
	१	१		१		0	0	0
	२	२		२		0	0	0
a-ba-dapa-rata-tai	शाब्दप्रतीति	śaāba्dapa्rataītai	a-ba-dapa-rata-tai	श		0	0	0
pa-ra-thaiva	पार्थिवा	paāra्thaivaā	pa-ra-thaiva	प		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
	४	४		४		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
ka-yau-aba-daopalaka-aita	ऋक्युशब्दोपलक्षित	ṛka्yauśaba्daopalaka्ṣaita	ka-yau-aba-daopalaka-aita	ऋ		0	0	0
	४	४		४		0	0	0
anana-tadaevae-a	अनन्तदेवेश	anana्tadaevaeśa	anana-tadaevae-a	अ		0	0	0
	११	११		१		0	0	0
	८	८		८		0	1	0
	५	५		५		0	0	0
	१	१		१		0	1	0
	१	१		१		0	0	0
	३	३		३		0	0	0
va-ta-tai	वृत्तिः	vaṛta्taiḥ	va-ta-tai	व		0	0	0
ta-yana	तायनं	taāyanaṃ	ta-yana	त		0	0	0
aupasadavata-tadauka-tama	औपसदवत्तदुक्तम्	aupasadavata्tadauka्tama्	aupasadavata-tadauka-tama	औ		0	1	0
	३	३		३		0	0	0
	३	३		३		0	0	0
	५	५		५		0	0	0
	८	८		८		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
sama-nata-va-ta	समानत्वात्	samaānata्vaāta्	sama-nata-va-ta	स		0	0	0
aka-arama	अक्षरम	aka्ṣarama	aka-arama	अ		0	1	0
	३	३		३		0	0	0
	३	३		३		0	0	0
	।	।		।		0	0	0
	३	३		३		0	1	0
	१	१		१		0	0	0
	३	३		३		0	0	0
uca-yatae	उच्यते	uca्yatae	uca-yatae	उ		0	1	0
	८	८		८		0	0	0
naivae-a	निवेशः	naivaeśaḥ	naivae-a	न		0	0	0
